nome,whatsapp,email,site,estado,cidade
Empresa,557141112333,,construtorabauhaus.com.br,BA,
Empresa,557532813645,atendimento@coinpe.com.br,coinpe.com.br,BA,
Empresa,557132430913,contato@barcinoesteve.com.br,barcinoesteve.com.br,BA,
Empresa,557932165000,relacionamento@celi.com.br,celi.com.br,BA,
Empresa,557133362286,hugo.planejamento@espacor2.com.br,espacor2.com.br,BA,
Empresa,557133679949,farol.construcao@gmail.com,construtorafarol.com.br,BA,
Empresa,557135072555,,cflconstrutora.com.br,BA,
Empresa,557134503674,contato@construtoramodulo.com.br,construtoramodulo.com.br,BA,
Empresa,557133442005,,construtoralink.com.br,BA,
Empresa,557133067131,cnm@construtoranm.com.br,construtoranm.com.br,BA,
Empresa,557332881545,,construtoraouteiro.com.br,BA,
Empresa,557132458488,construtorapablo@construtorapablo.com.br,construtorapablo.com.br,BA,
Empresa,557133556666,,costaandrade.com.br,BA,
Empresa,557130823082,contato@cplconstrutora.com.br,cplconstrutora.com.br,BA,
Empresa,557133623393,ctl-ssa@uol.com.br,ctlssa.com.br,BA,
Empresa,557135942250,dipawa@dipawa.com.br,dipawa.com.br,BA,
Empresa,557133284444,falcao@falcaoconstrutora.com.br,falcaoconstrutora.com.br,BA,
Empresa,557132722377,,mvsconstrutora.com.br,BA,
Empresa,558532511414,,http://www.acopi.com.br/,CE,
Empresa,558532649272,,http://www.bm.eng.br/,CE,
Empresa,558540086969,,http://www.carneirodemelo.com.br/,CE,
Empresa,558532244576,,http://www.coigma.com.br/,CE,
Empresa,558532886600,receber@colmeia.com.br,http://www.colmeia.com.br/,CE,
Empresa,558532604006,atendimento@construtoradube.com.br,http://www.construtoradube.com.br/,CE,
Empresa,558530777800,exata@exataconstrutora.com.br,http://www.exataconstrutora.com.br/,CE,
Empresa,558532677288,elos@construtoraelos.com.br,http://www.construtoraelos.com/,CE,
Empresa,558534721674,engenharia@construtoraengeterra.com,http://www.construtoraengeterra.com/,CE,
Empresa,558531334058,,http://www.jsimoes.com.br/,CE,
